Country,Continent,Population_growth,Fertility_rate,Mortality_rate_adult_female_per_1000,Mortality_rate_adult_male_per_1000,Adolescent_fertility_rate(births_per_1000_women_ages_15_19),Agricultural_land_(sq_km),Aid_per_capita,Air_transport_passengers_carried,Arable_land,Average_times_firms_spent_in_meetings_with_tax_officials,Average_time_to_clear_exports_through_customs,Birth_rate_crude_per_1000,Death_rate_crude_per_1000,Electric_power_consumption,Forest_area,GDP (constant 2000 US$),Health expenditure per capita (current US$),Hospital beds (per 1000 people),Immunization DPT (% of children ages 12-23 months),Inflation consumer prices (annual %),Internet users (per 100 people),Land area (sq. km),Life expectancy at birth female (years),Life expectancy at birth male (years),Life expectancy at birth total (years),Literacy rate adult total (% of people ages 15 and above),Low-birthweight babies (% of births),Military expenditure (% of GDP),Mortality rate infant (per 1000 live births),Personal computers (per 100 people),Physicians (per 1000 people),Population total,Population female (% of total),Prevalence of HIV total (% of population ages 15-49),Prevalence of overweight (% of children under 5),Ratio of female to male primary enrollment,Ratio of female to male secondary enrollment,Roads total network (km),Smoking prevalence females (% of adults),Smoking prevalence males (% of adults),Surface area (sq. km),Tax revenue (% of GDP)
Ghana,Sub-Saharan Africa,2,4,285,292,61,147350,50,NA,4185000,NA,NA,31,10,5989000000,55170,6364078592,30,1,84,15,2,227540,60,59,59,NA,NA,1,75,1,NA,22535010,49,2,NA,96,85,57613,NA,NA,238540,NA
Greece,Europe,0,1,43,94,9,83590,NA,9452219,2627000,NA,NA,9,9,5.82E+10,37520,1.78E+11,2580,NA,88,4,18,128900,82,77,79,NA,NA,3,4,9,5,11104000,50,0,NA,99,98,117533,NA,NA,131960,17
Greenland,Europe,0,NA,NA,NA,NA,2350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,410450,NA,NA,NA,NA,NA,NA,NA,NA,NA,56935,NA,NA,NA,NA,NA,NA,NA,NA,410450,NA
Grenada,Latin America & Caribbean,1,NA,148,192,46,130,495,NA,2000,NA,NA,21,NA,NA,40,449579872,342,5,99,3,NA,340,NA,NA,NA,NA,9,NA,17,NA,NA,106500,51,NA,NA,96,103,NA,NA,NA,340,NA
Guam,Pacific,2,3,66,128,53,200,NA,NA,2000,NA,NA,19,5,NA,260,NA,NA,NA,NA,NA,39,540,78,73,75,NA,NA,NA,NA,NA,NA,168570,49,NA,NA,NA,NA,NA,NA,NA,540,NA
Guatemala,Latin America & Caribbean,2,4,132,239,110,46520,20,NA,1440000,NA,NA,34,6,6635000000,39380,2.19E+10,132,1,81,8,8,108430,73,66,70,NA,NA,0,32,2,NA,12709564,51,1,NA,92,91,NA,NA,NA,108890,10
Guinea,Sub-Saharan Africa,2,6,238,279,157,125700,22,NA,1200000,NA,NA,41,13,NA,67240,3621396480,21,NA,68,NA,1,245720,57,53,55,NA,12,NA,100,0,NA,9002656,49,2,5,82,51,NA,NA,NA,245860,NA
Guinea-Bissau,Sub-Saharan Africa,3,7,392,446,192,16300,50,NA,300000,NA,NA,50,19,NA,20720,213417600,10,NA,80,3,2,28120,48,44,46,NA,NA,4,121,0,NA,1596929,51,4,NA,NA,NA,NA,NA,NA,36120,NA
Guyana,Latin America & Caribbean,0,2,193,266,66,17400,187,NA,480000,NA,NA,19,9,NA,151040,736121408,60,NA,93,7,22,196850,69,63,66,NA,NA,NA,47,4,NA,739472,49,2,NA,99,99,NA,NA,NA,214970,NA
Haiti,Latin America & Caribbean,2,4,253,312,49,15900,54,NA,780000,NA,NA,29,10,343000000,1050,3744341504,28,NA,53,16,6,27560,62,58,60,NA,25,NA,63,0,NA,9296291,50,4,NA,NA,NA,NA,6,15,27750,NA
Honduras,Latin America & Caribbean,2,3,143,252,97,29360,99,NA,1068000,NA,NA,29,6,4276000000,46480,7100086784,91,NA,91,9,4,111890,73,66,70,NA,NA,1,24,2,NA,6834110,50,2,NA,99,130,NA,NA,NA,112090,17
HongKong,Asia,0,1,34,80,5,NA,NA,20229512,NA,NA,NA,8,6,4.01E+10,NA,2.07E+11,NA,NA,NA,1,52,1042,84,79,82,NA,NA,NA,NA,61,NA,6813200,51,NA,NA,NA,101,1955,NA,NA,1092,NA
Hungary,Europe,0,1,107,256,20,58640,NA,2735214,4600000,2,4,10,14,3.80E+10,19760,5.92E+10,855,8,99,4,30,89610,77,69,73,NA,NA,1,6,15,NA,10087050,52,0,NA,98,99,NA,NA,NA,93030,20
